gene	Nor-P1	HPAF-II	CaPan-2	BxPC-3	Panc02.03	Panc05.04	SU86.86	Panc03.27	PL45	Panc03.3	Panc06.03	CFPAC	Panc010.05	Colo0357	L3.60pl	Panc02.13	Panc08.13	HS766t	Panc-1	ASPC-1	Mpanc-96	MiaPaCa-2
ITGB4	7.336741443	8.399997339	8.967989977	8.920131317	9.788909424	7.129770455	7.956906291	8.910791234	8.545499315	8.946458592	7.679730556	8.185257028	7.172674664	9.016379926	9.368926489	9.696020489	6.65452602	8.43164567	6.140182191	10.3141065	9.769673744	7.798505406
RGS20	2.727868649	3.675872037	4.802143559	5.591812965	4.585815887	3.613649971	4.339887579	7.070731255	4.599399677	6.782822161	3.478401792	3.457676528	5.247826752	4.796501897	5.07507901	7.398345339	5.835529407	6.462993536	8.047748295	3.028596766	5.077411756	7.661621924
GSTM3	4.045594549	11.99026614	9.452292313	10.86922556	9.994171047	12.98603694	11.86043038	10.58687293	9.072863877	8.25429167	10.73540389	10.93291021	5.982308922	9.700673491	10.96541362	10.30351093	10.94224461	10.58441483	11.879092	5.498991886	5.680636523	12.24360938
CXCL1	5.205204446	4.792963429	13.64250548	11.17796693	7.912533229	10.97203479	11.282604	10.93444184	9.627036613	11.61092232	11.80209521	13.6326774	5.310512448	12.43762036	13.74955597	12.19792059	6.756405805	9.482645683	8.882996772	7.432021419	7.815507959	10.52322792
TM4SF1	6.043707017	14.27830177	14.12303193	12.59595017	14.54858956	13.78648271	14.16664382	15.04932297	9.975162466	8.550802749	15.05817114	15.3360772	12.17544781	11.18763311	12.33238444	14.03586755	13.8057503	14.10049275	15.0096484	15.1006262	14.91377642	15.13542117
MT1X	8.945555385	7.527141875	11.42434956	11.08061891	10.70773532	9.886861149	12.43666974	9.681050228	11.72139475	11.78602211	11.66979577	12.09269431	11.67931429	10.47129617	13.14042449	12.67662403	8.907307979	14.51973515	12.75980015	11.023123	7.217800069	13.58603278
PODXL	6.795820735	10.77718623	11.48107233	13.74136244	10.76126408	11.40799236	11.23692939	12.63472967	12.74883042	8.56727011	12.47541679	10.92258163	13.19906159	11.91208535	10.07188247	10.60965209	13.02044087	15.22163753	9.167958055	11.80668149	10.97695534	14.32399473
DTX4	10.09532174	11.07608541	11.31890305	11.64457674	10.35199018	11.42467123	11.80317102	10.23530506	10.13542774	9.261722856	11.2119408	11.07041333	8.994105591	9.55131369	9.894785119	9.693816795	6.2330675	6.818556997	6.79793072	10.61181332	10.68682978	6.255662651
EHF	3.30586281	10.58705306	10.31361426	10.43441076	9.820794693	9.309570358	10.96741067	10.95545082	10.10711438	8.711191973	10.65810893	10.72836567	8.786408246	9.491108978	10.04927911	10.97337228	4.359717665	9.799028509	4.285408842	10.48131016	10.86213478	9.504885562
GJB3	6.653233208	10.50956303	10.21376766	11.49597686	10.68877627	10.06903536	9.117960092	10.02192181	11.20271539	8.836304122	10.34439435	9.50986314	11.66254824	10.2630824	10.36474909	10.23628538	4.846962928	11.26764444	3.899212493	10.00563868	9.925799571	4.942697421
